host_id,hostname,n_planets,avg_pl_rade,avg_pl_bmasse
1555,KOI-351,8,3.9,31.149
4279,TRAPPIST-1,7,0.979,0.921
399,HD 10180,6,6.677,1587.701
441,HD 110067,6,2.431,6.308
646,HD 191939,6,6.59,176.974
714,HD 219134,6,3.669,25.24
798,HD 34445,6,8.855,86.687
989,HIP 41378,6,4.254,7.815
1077,K2-138,6,2.584,6.042
1678,Kepler-11,6,2.967,7.85
2661,Kepler-20,6,2.293,9.387
3303,Kepler-80,6,1.813,747.391
3785,TOI-1136,6,3.052,6.59
3894,TOI-178,6,2.218,4.052
29,55 Cnc,5,8.975,320.749
218,GJ 667 C,5,1.782,3.896
429,HD 108236,5,2.265,5.918
498,HD 134606,5,3.5,14.634
567,HD 158259,5,2.076,5.09
744,HD 23472,5,1.315,2.754
813,HD 40307,5,2.345,969.04
1209,K2-268,5,1.848,4.264
1312,K2-384,5,1.445,2.708
1590,Kepler-102,5,1.042,2.96
1812,Kepler-122,5,2.952,20.852
1999,Kepler-139,5,5.677,87.2
2122,Kepler-150,5,2.898,9.262
2166,Kepler-154,5,2.41,6.912
2327,Kepler-169,5,1.674,3.638
2512,Kepler-186,5,1.232,1.948
2705,Kepler-238,5,2.958,732.768
2765,Kepler-292,5,2.008,4.878
2769,Kepler-296,5,1.806,3.95
2795,Kepler-32,5,1.844,495.024
2806,Kepler-33,5,3.754,4.63
2931,Kepler-444,5,0.543,0.15
2960,Kepler-48,5,6.766,196.412
3033,Kepler-55,5,1.874,24.424
3111,Kepler-62,5,1.364,19.6
3324,Kepler-82,5,3.698,237.214
3346,Kepler-84,5,2.154,15.086
3519,L 98-59,5,1.353,1.944
43,AU Mic,4,3.092,12.968
71,Barnard's star,4,0.699,0.273
115,DMPP-1,4,2.965,10.338
185,GJ 3293,4,3.59,13.877
220,GJ 676 A,4,7.338,1534.873
232,GJ 876,4,8.433,242.91
519,HD 141399,4,13.925,287.716
573,HD 160691,4,3.17,1250.019
583,HD 164922,4,5.505,35.88
676,HD 20781,4,2.615,7.975
680,HD 20794,4,1.95,4.522
700,HD 215152,4,,695.011
788,HD 3167,4,2.355,7.21
1036,HR 8799,4,13.029,2794.575
1074,K2-133,4,1.669,3.468
1127,K2-187,4,1.725,3.757
1208,K2-266,4,2.416,8.689
1228,K2-285,4,2.637,10.64
1249,K2-32,4,3.282,7.975
1377,K2-72,4,1.135,1.538
1563,KOI-94,4,5.965,41.775
1568,Kepler-100,4,2.605,9.551
1634,Kepler-106,4,1.708,8.752
1645,Kepler-107,4,1.724,8.9
1922,Kepler-132,4,1.305,2.22
1988,Kepler-138,4,1.114,1.225
1997,Kepler-1388,4,2.542,7.03
2169,Kepler-1542,4,0.76,0.381
2277,Kepler-164,4,2.708,8.435
2305,Kepler-167,4,3.697,82.527
2358,Kepler-172,4,2.555,7.103
2402,Kepler-176,4,1.998,73.527
2633,Kepler-197,4,1.095,2.253
2647,Kepler-1987,4,1.785,4.07
2672,Kepler-208,4,1.425,2.615
2680,Kepler-215,4,1.883,8.588
2686,Kepler-220,4,1.173,1.695
2687,Kepler-221,4,2.5,6.683
2689,Kepler-223,4,4.067,6.325
2690,Kepler-224,4,2.195,5.715
2702,Kepler-235,4,1.945,4.55
2707,Kepler-24,4,2.328,85.325
2713,Kepler-245,4,2.382,500.36
2720,Kepler-251,4,2.41,6.657
2725,Kepler-256,4,2.143,5.312
2729,Kepler-26,4,2.245,4.737
2735,Kepler-265,4,2.393,6.377
2750,Kepler-279,4,3.788,1080.957
2754,Kepler-282,4,1.942,30.02
2758,Kepler-286,4,1.427,2.657
2761,Kepler-289,4,4.923,45.903
2772,Kepler-299,4,1.925,4.522
2778,Kepler-304,4,2.245,5.942
2779,Kepler-305,4,2.863,6.643
2780,Kepler-306,4,2.152,5.367
2800,Kepler-324,4,1.865,664.461
2815,Kepler-338,4,2.335,13.613
2819,Kepler-341,4,1.68,3.498
2820,Kepler-342,4,1.895,4.391
2850,Kepler-37,4,0.866,3.047
2887,Kepler-402,4,1.405,2.56
2897,Kepler-411,4,3.355,19.5
2969,Kepler-49,4,2.046,63.793
2989,Kepler-51,4,6.995,4.775
3066,Kepler-58,4,2.547,232.91
3142,Kepler-65,4,4.855,67.985
3175,Kepler-68,4,7.109,90.695
3256,Kepler-758,4,1.955,4.577
3291,Kepler-79,4,4.46,6.725
3356,Kepler-85,4,1.556,3.322
3794,TOI-1203,4,3.487,14.615
3803,TOI-1246,4,3.102,9.275
3936,TOI-2076,4,2.718,25.625
4085,TOI-4010,4,7.107,190.365
4142,TOI-500,4,3.399,13.655
4186,TOI-561,4,2.349,8.42
4200,TOI-5789,4,2.365,5.755
4243,TOI-700,4,1.385,2.51
4301,V1298 Tau,4,8.061,174.806
4425,WASP-47,4,6.113,211.375
4531,rho CrB,4,6.548,100.244
4533,tau Cet,4,1.498,2.86
21,2MASS J19383260+4603591,3,13.467,558.32
26,47 UMa,3,13.633,498.974
32,61 Vir,3,3.893,15.4
110,CoRoT-7,3,2.94,9.873
128,EPIC 206024342,3,1.9,4.447
147,EPIC 249893012,3,3.187,11.2
156,GJ 1061,3,1.147,1.583
167,GJ 163,3,3.89,15.6
169,GJ 180,3,2.5,6.817
181,GJ 3138,3,2.097,5.487
193,GJ 357,3,1.733,3.78
195,GJ 367,3,1.63,3.598
201,GJ 3998,3,2.077,5.13
206,GJ 433,3,3.58,14.563
215,GJ 581,3,2.89,9.93
242,GJ 9827,3,1.517,3.053
460,HD 11506,3,13.067,1915.446
479,HD 125612,3,9.99,1080.723
505,HD 136352,3,2.381,8.26
521,HD 142,3,12.0,1934.622
551,HD 153557,3,7.01,2921.161
624,HD 181433,3,13.2,1591.261
628,HD 184010,3,12.733,112.299
668,HD 204313,3,9.803,2117.373
732,HD 224018,3,1.91,6.233
738,HD 22946,3,2.099,16.667
765,HD 27894,3,11.68,770.628
767,HD 28109,3,3.31,7.067
772,HD 28471,3,2.023,4.783
787,HD 31527,3,3.51,12.15
793,HD 33142,3,12.307,248.966
804,HD 37124,3,14.033,214.323
810,HD 39091,3,6.013,1499.464
811,HD 39194,3,2.017,4.767
823,HD 42813,3,2.166,6.247
841,HD 48948,3,2.633,7.58
864,HD 63433,3,1.968,12.848
879,HD 69830,3,3.693,13.367
888,HD 73344,3,9.861,313.164
904,HD 7924,3,,1796.366
943,HD 93385,3,2.443,6.667
958,HD 96700,3,2.743,8.367
980,HIP 14810,3,13.567,614.471
999,HIP 57274,3,14.2,1218.949
1035,HR 858,3,1.995,4.817
1075,K2-136,3,1.86,8.467
1084,K2-148,3,1.567,3.1
1092,K2-155,3,2.1,5.143
1094,K2-157,3,4.058,18.413
1097,K2-16,3,1.863,4.27
1103,K2-165,3,1.826,4.233
1123,K2-183,3,1.9,4.39
1130,K2-19,3,4.07,17.733
1139,K2-198,3,2.683,8.477
1162,K2-219,3,1.787,4.067
1177,K2-233,3,1.65,5.767
1180,K2-239,3,1.067,1.237
1240,K2-3,3,1.706,3.33
1283,K2-352,3,1.84,4.133
1294,K2-368,3,1.547,3.07
1296,K2-37,3,2.037,7.133
1309,K2-381,3,1.588,3.14
1362,K2-58,3,2.003,4.827
1384,K2-80,3,2.011,4.833
1421,KIC 10001893,3,,
1549,KOI-142,3,10.179,396.249
1561,KOI-7892,3,3.162,10.447
1567,Kepler-10,3,2.438,8.843
1612,Kepler-104,3,3.27,10.762
1649,Kepler-1073,3,1.809,4.017
1713,Kepler-1130,3,0.746,0.354
1723,Kepler-114,3,1.797,2.597
1834,Kepler-124,3,1.197,1.812
1850,Kepler-1254,3,1.387,2.51
1856,Kepler-126,3,1.867,19.996
1867,Kepler-127,3,2.233,5.853
1889,Kepler-129,3,5.84,900.325
1900,Kepler-130,3,1.853,4.373
1913,Kepler-1311,3,4.039,23.85
1924,Kepler-1321,3,3.316,11.753
2033,Kepler-142,3,2.337,6.16
2086,Kepler-1468,3,2.071,5.447
2099,Kepler-148,3,4.693,24.263
2110,Kepler-149,3,3.26,11.54
2156,Kepler-1530,3,2.19,5.83
2199,Kepler-157,3,1.673,3.56
2210,Kepler-158,3,1.483,3.152
2233,Kepler-160,3,2.737,39.063
2295,Kepler-166,3,2.127,5.223
2304,Kepler-1669,3,1.967,4.8
2347,Kepler-171,3,2.263,5.797
2380,Kepler-174,3,1.88,4.253
2424,Kepler-178,3,3.243,10.733
2446,Kepler-18,3,4.823,13.533
2490,Kepler-184,3,2.273,7.243
2556,Kepler-19,3,3.65,13.9
2567,Kepler-191,3,1.827,4.1
2578,Kepler-192,3,2.183,5.73
2600,Kepler-194,3,2.167,5.487
2622,Kepler-196,3,2.267,5.827
2639,Kepler-198,3,2.273,5.99
2667,Kepler-203,3,2.16,263.643
2670,Kepler-206,3,1.387,2.487
2671,Kepler-207,3,2.127,5.65
2682,Kepler-217,3,1.8,3.993
2683,Kepler-218,3,2.427,6.783
2684,Kepler-219,3,3.113,13.537
2688,Kepler-222,3,3.83,14.233
2692,Kepler-226,3,1.68,23.727
2694,Kepler-228,3,2.757,8.703
2695,Kepler-229,3,3.657,13.727
2696,Kepler-23,3,2.283,4.937
