material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,density_atomic,volume,nsites,nelements,elements,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable
mp-11107,Ac2O3,Ac-O,3.522599999999999,8.1122,4.5896,4.69645087,False,,,,,101.296,35.758,2.519,0.342,0.0,-3.737668289999997,-3.737668289999996,9.109129867325775,18.30224477209263,91.51122386046316,5,2,"['Ac', 'O']",Trigonal,False,False,0.0,NM,,True
mp-32800,Ac2S3,Ac-S,2.2962,7.0976,4.8014,5.79182041,False,,,,,,,,,0.0,-2.4930635934375,-2.49306359343749,6.535149338291522,27.960196300176175,1118.407852007047,40,2,"['Ac', 'S']",Tetragonal,True,False,0.0,NM,,True
mp-977351,Ac2S3,Ac-S,3.0275,5.9344,2.9069000000000003,3.0080895,False,,,,,,,,,0.052699622749997004,-2.440363970687502,,5.562970721400395,32.846489313105586,328.4648931310559,10,2,"['Ac', 'S']",Trigonal,True,False,0.0,NM,,False
mp-1183052,AcBO3,Ac-B-O,0.8071,7.7035,6.8964,7.0377947,False,,,,,,,,,0.7924727446666661,-2.475389555333333,,9.206878605801688,10.309625281572119,51.54812640786059,5,3,"['Ac', 'B', 'O']",Cubic,True,False,0.0001327,NM,,False
mp-866101,AcCrO3,Ac-Cr-O,2.0031,8.2567,6.2536,6.3647368,False,,,,,,,,,0.0,-3.1389721295,-0.086844100000005,8.848788046728616,12.272569008052164,61.36284504026082,5,3,"['Ac', 'Cr', 'O']",Cubic,True,True,2.9999997,FM,,True
mp-861502,AcFeO3,Ac-Fe-O,0.9887999999999991,7.4875,6.4987,6.50904465,False,,,,,,,,,0.0,-2.771539465500001,-0.04915964400000301,8.889999465919495,12.359462126517345,61.79731063258672,5,3,"['Ac', 'Fe', 'O']",Cubic,True,True,4.2542759,FM,,True
mp-1183053,AcGaO3,Ac-Ga-O,2.895900000000001,8.1819,5.286,5.47693479,False,,,,,,,,,0.0,-3.063252617,-0.059920137500002,9.31449500321555,12.291015658661474,61.455078293307366,5,3,"['Ac', 'Ga', 'O']",Cubic,True,False,0.0,NM,,True
mp-861884,AcGaTe2,Ac-Ga-Te,0.49099999999999905,6.1732,5.6822,5.75964384,False,,,,,43.131,14.998,0.805,0.34400000000000003,0.23712917770833203,-1.071641271875002,,7.18122937756361,31.905738386468695,127.62295354587478,4,3,"['Ac', 'Ga', 'Te']",Cubic,True,False,0.0,NM,,False
mp-861605,AcH3,Ac-H,0.640699999999999,6.9559,6.3152,6.59472466,False,,,,,69.171,31.322,12.983,0.303,0.0,-0.671802030937499,-0.11551054851562201,7.784733821859042,12.266429016687662,49.065716066750646,4,2,"['Ac', 'H']",Cubic,True,False,0.0,NM,,True
mp-861867,AcI3,Ac-I,2.5892,2.2729,-0.3163,-0.21485256,False,,,,,2.551,1.677,17.93,0.23,0.0,-1.801003203125001,-1.801003203125001,4.3344198328891235,58.20455202242503,465.6364161794002,8,2,"['Ac', 'I']",Hexagonal,True,False,0.0,NM,,True
mp-861460,AcInTe2,Ac-In-Te,0.3799,6.9279,6.548,6.61702776,False,,,,,42.162,17.936,0.056,0.314,0.148074160729173,-1.165022114374998,,7.448293892336029,33.2751273913707,133.1005095654828,4,3,"['Ac', 'In', 'Te']",Cubic,True,False,0.0,NM,,False
mp-1184231,AcMg149,Ac-Mg,0.21680000000000002,3.574799999999999,3.358,3.38196898,True,,,,,,,,,0.011412302733333001,0.009979247549999001,,1.829015046859574,23.293022398891463,3493.9533598337193,150,2,"['Ac', 'Mg']",Hexagonal,True,False,0.0027846,NM,,False
mp-1183152,AcScO3,Ac-O-Sc,3.3847,8.3626,4.9779,5.11443989,True,,,,,,,,,0.024140034874998002,-3.8290604304999993,,7.569207408829243,14.038360261487123,70.19180130743561,5,3,"['Ac', 'O', 'Sc']",Cubic,True,False,7.43e-05,NM,,False
mp-865028,AcTlTe2,Ac-Te-Tl,0.6253000000000001,6.7984,6.1731,6.28014726,False,,,,,41.684,19.533,0.187,0.297,0.0,-1.251402644791669,-0.43911690046296503,8.430613335203375,33.808287333155356,135.23314933262142,4,3,"['Ac', 'Te', 'Tl']",Cubic,True,False,0.0,NM,,True
mp-18125,Ag(AuF4)2,Ag-Au-F,0.258499999999999,-1.846,-2.1045,-1.9663921,True,,,,,,,,,0.0,-1.201867790454545,-0.038002340681799,6.941567477313422,14.21792379029684,312.7943233865305,22,3,"['Ag', 'Au', 'F']",Monoclinic,False,True,2.0,FM,,True
mp-567334,Ag(BCl)6,Ag-B-Cl,2.7028,3.0934,0.3906,0.44599951,True,,,,,,,,,0.0,-0.736950766538461,-0.095313057307693,2.666185535806875,18.466555938348595,1920.521817588254,104,3,"['Ag', 'B', 'Cl']",Cubic,False,False,0.0,NM,,True
mp-600237,Ag(CO)2,Ag-C-O,0.737499999999999,2.0759,1.3384,1.37929463,False,,,,,,,,,0.43695598291666804,-0.6242780280833331,,4.002724513097296,13.597892628987546,543.9157051595018,40,3,"['Ag', 'C', 'O']",Monoclinic,True,False,0.0046768,NM,,False
mp-654937,Ag(CO)2,Ag-C-O,0.7248000000000001,2.0491,1.3243,1.40770183,False,,,,,,,,,0.41785648891666904,-0.6433775220833331,,3.892154022538718,13.984189175795146,559.3675670318058,40,3,"['Ag', 'C', 'O']",Monoclinic,False,False,0.003090599999999,NM,,False
mp-732005,Ag(NO2)3,Ag-N-O,0.16560000000000002,-1.3678,-1.533399999999999,-1.4935907800000001,False,,,,,,,,,0.553319284999995,-0.095571144916667,,2.569769237388186,15.888630943539601,635.5452377415841,40,3,"['Ag', 'N', 'O']",Monoclinic,False,True,15.934034,FM,,False
mp-568386,Ag10Te4Br3,Ag-Br-Te,0.9637000000000001,3.4489,2.4852,2.49866442,False,,,,,,,,,0.002081343529411,-0.36435031196078305,,6.979004698072393,25.595962993897647,1740.52548358504,68,3,"['Ag', 'Br', 'Te']",Orthorhombic,False,False,0.0044694,NM,,False
mp-568392,Ag10Te4Br3,Ag-Br-Te,0.8722000000000001,3.3637,2.4915000000000003,2.53642879,False,,,,,,,,,0.0,-0.366431655490194,-0.00045895213235400004,7.194733997305497,24.8284851188382,1688.3369880809976,68,3,"['Ag', 'Br', 'Te']",Orthorhombic,False,False,0.0,NM,,True
mp-1229222,Ag10Te4BrCl,Ag-Br-Cl-Te,0.22080000000000002,3.342,3.1212,3.1389801,True,,,,,,,,,0.0016037326562500002,-0.33069498614583104,,7.29653849852453,24.243409620782543,1551.5782157300828,64,4,"['Ag', 'Br', 'Cl', 'Te']",Monoclinic,True,False,2.46e-05,NM,,False
mp-1215080,Ag12SBr,Ag-Br-S,0.394499999999999,-4.2524,-4.6469000000000005,-4.62583398,True,,,,,,,,,1.707332522142857,1.563036622678573,,0.31850747966422205,523.7287234949684,7332.202128929559,14,3,"['Ag', 'Br', 'S']",Cubic,True,True,5.0875149,FM,,False
mp-1215073,Ag12SI,Ag-I-S,0.40240000000000004,-4.1899,-4.5923,-4.57048402,True,,,,,,,,,1.698985467142857,1.5820983019642871,,0.33123253389683005,520.4387272385148,7286.142181339207,14,3,"['Ag', 'I', 'S']",Cubic,True,True,5.9438899,FM,,False
mp-1195193,Ag12Sn7H16(Se11N2)2,Ag-H-N-Se-Sn,0.22229999999999903,2.1988,1.9765000000000001,2.0881112,True,,,,,,,,,0.0,-0.48019928584528504,-0.058628900076843,4.886247051612521,21.92054252554233,2674.3061881161643,122,5,"['Ag', 'H', 'N', 'Se', 'Sn']",Monoclinic,False,False,0.0415976,NM,,True
mp-1199256,Ag13As3(IO3)4,Ag-As-I-O,0.33329999999999904,2.3225,1.9892,1.97534531,False,,,,,,,,,0.006591958281249001,-0.833353502786457,,6.3264344116303555,19.08417634660366,1221.3872861826342,64,4,"['Ag', 'As', 'I', 'O']",Monoclinic,False,False,0.0003364,NM,,False
mp-560328,Ag15P4S16Cl3,Ag-Cl-P-S,1.288799999999999,3.4566,2.1678,2.45878099,False,,,,,,,,,0.0,-0.48195274154135204,-4.3628618421109884e-05,4.58713063268096,22.49462177198786,1709.5912546710772,76,4,"['Ag', 'Cl', 'P', 'S']",Cubic,False,False,0.0937693,NM,,True
mp-1229151,Ag15S5I4Br,Ag-Br-I-S,0.5666,2.8965,2.3299,2.8967753,False,,,,,,,,,0.06528137339999701,-0.277351580299998,,6.535109634527875,24.04623384725251,601.1558461813128,25,4,"['Ag', 'Br', 'I', 'S']",Triclinic,True,False,0.0022152,NM,,False
mp-1245378,Ag15W7N19,Ag-N-W,0.9837,2.5049,1.521199999999999,1.63315712,False,,,,,,,,,0.359233186463413,0.12135913727133901,,7.132913997491944,18.005228815606625,1476.4287628797433,82,3,"['Ag', 'N', 'W']",Triclinic,True,False,0.009528199999999001,NM,,False
mp-1215118,Ag16HgAs4S15,Ag-As-Hg-S,1.1099,3.5779,2.468,2.70593903,True,,,,,,,,,0.005915221319444001,-0.29417095789351705,,5.570459025123106,22.416445324857378,3227.9681267794626,144,4,"['Ag', 'As', 'Hg', 'S']",Monoclinic,True,False,0.0,NM,,False
mp-1205258,Ag2(MoO4)3,Ag-Mo-O,0.9809,1.7318,0.7509,0.75110594,False,,,,,,,,,0.35073570585784203,-1.118035937254902,,4.629085242129484,14.676849921611476,998.0257946695804,68,3,"['Ag', 'Mo', 'O']",Orthorhombic,True,True,7.9996544,FM,,False
mp-1197575,Ag2AsS2,Ag-As-S,0.533399999999999,3.8,3.2666,3.26745953,False,,,,,,,,,0.0030302076458330004,-0.14634721281249402,,5.345360682313937,22.043015219165717,881.7206087666286,40,3,"['Ag', 'As', 'S']",Monoclinic,False,False,0.0025596,NM,,False
mp-1247866,Ag2B8O13,Ag-B-O,2.9324,3.6098,0.6774,3.60991301,False,,,,,,,,,0.007411922173912001,-2.503243793550724,,3.27284456333392,11.255128711865735,1035.4718414916476,92,3,"['Ag', 'B', 'O']",Monoclinic,True,False,0.0022775,NM,,False
mp-554873,Ag2B8O13,Ag-B-O,3.4397,3.886,0.44630000000000003,0.62937272,False,,,,,,,,,0.0,-2.510655715724636,-0.036393638623187,3.401789519714084,10.82850264567495,996.2222434020954,92,3,"['Ag', 'B', 'O']",Monoclinic,False,False,0.0,NM,,True
