material_id,formula,nelements,elements,elements_clean,crystal_system,band_gap,is_gap_direct,n,e_total,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,energy_above_hull,formation_energy_per_atom,density,is_stable,is_magnetic,total_magnetization,weighted_work_function,theoretical,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-4763,ZnSiP2,3,['P' 'Si' 'Zn'],"P,Si,Zn",Tetragonal,1.3641,True,3.244916413407285,12.41888436999372,10.529482530000003,84.953,54.178,0.0,-0.39165684148809604,3.418565574455873,True,False,0.0,,False,False,False,0.9981866149231168,0.7181859772588667,1.0,0.9999770288392673,0.7543960325132054,1.0,0.1,1.0327107078968198
mp-1016197,MgSiAs2,3,['As' 'Mg' 'Si'],"As,Mg,Si",Tetragonal,1.303199999999999,True,3.189110265680173,12.39872379000001,10.170424286666664,57.986,28.695,0.0,-0.297332561249999,3.590920896404339,True,False,0.0,,False,False,False,0.9957769422929577,0.8298943388472038,1.0,0.9967098158948182,0.4866159711604422,1.0,0.1,1.021596455900587
mp-1078908,Ca2CdP2,3,['Ca' 'Cd' 'P'],"Ca,Cd,P",Orthorhombic,1.2927,True,3.055397555692767,18.318321033333334,9.335454223333334,,,0.0,-0.8925133748571411,3.544535939395362,True,False,0.0,,False,False,False,0.993032852644596,0.8473037283164417,1.0,0.96689795047401,0.5,1.0,0.1,1.0203884649797168
mp-1205337,Ca3(AlP2)2,3,['Al' 'Ca' 'P'],"Al,Ca,P",Monoclinic,1.248199999999999,True,2.945895330795037,18.85129137,8.678299299999999,,,0.0,-1.176275938544974,2.467476688095708,True,False,0.0,,False,False,False,0.9740086202689179,0.9127375588984002,1.0,0.9210839157114367,0.5,1.0,0.1,1.018575376258705
mp-1105549,BaHfS3,3,['Ba' 'Hf' 'S'],"Ba,Hf,S",Orthorhombic,1.252399999999999,True,2.925186827651639,58.18681615,8.556717976666667,,,0.0,-2.139777798999998,5.547751676715811,True,False,0.0,,False,False,False,0.9763047475148666,0.9072043459094575,1.0,0.9104821587130539,0.5,1.0,0.1,1.0167291625720933
mp-1189305,Sr3(AlAs2)2,3,['Al' 'As' 'Sr'],"Al,As,Sr",Monoclinic,1.1456,True,3.053276003464693,18.091156726666668,9.322494353333333,,,0.0,-1.154644779999999,4.2093865976078995,True,False,0.0,,False,False,False,0.88860896466884,0.9963657311103974,1.0,0.9661846692387737,0.5,1.0,0.1,1.0165348012195856
mp-19913,Ba3(InP2)2,3,['Ba' 'In' 'P'],"Ba,In,P",Monoclinic,1.1092,True,3.11620567945485,21.836599606666663,9.710737836666667,,,0.0,-0.785818917433863,4.6027329881611525,True,False,0.0,,False,False,False,0.8466528725789252,0.9993522099066577,1.0,0.9842139968748101,0.5,1.0,0.1,1.0091981491619515
mp-29163,Ag2TeS3,3,['Ag' 'S' 'Te'],"Ag,S,Te",Monoclinic,1.2999,True,2.8878845573649,13.06676703666667,8.339877216666666,,,0.0,-0.078949780572917,5.146247485897094,True,False,0.0,,False,False,False,0.9949875730982791,0.8354372357468912,1.0,0.8899786003007326,0.5,1.0,0.1,1.0075592686817134
mp-13275,NaSrP,3,['Na' 'P' 'Sr'],"Na,P,Sr",Hexagonal,1.2357,True,2.804893800128625,18.46827177999928,7.86742923,,,0.0,-0.963640314880952,3.090204867365227,True,False,0.0,,False,False,False,0.9665760656575553,0.9283287161861241,1.0,0.8385288864646485,0.5,1.0,0.1,1.0066726568120048
mp-14206,K3Ag3As2,3,['Ag' 'As' 'K'],"Ag,As,K",Trigonal,1.2533,True,2.810603582269593,14.594461903194242,7.89949249666667,,,0.0,-0.350068366468748,4.425705732686266,True,False,0.0,,False,False,False,0.9767834677370404,0.9059999251495466,1.0,0.842301647880407,0.5,1.0,0.1,1.006441102888753
