element,materials_count,avg_band_gap,avg_energy_above_hull,avg_n,avg_bulk_modulus_gpa,avg_dielectric_score,avg_mechanical_score,avg_score,stable_count,direct_gap_count,non_magnetic_count
Si,13,1.2,0.00012,3.048,72.4,0.7653,0.5401,0.9631,12.0,13.0,13.0
Zn,11,1.209,0.00094,3.04,55.4,0.8343,0.479,0.9617,7.0,9.0,11.0
Mg,5,1.248,0.00066,3.046,59.4,0.7728,0.5017,0.9616,4.0,4.0,5.0
V,2,1.267,0.0,2.692,,0.629,0.5,0.9548,2.0,2.0,2.0
B,2,1.288,0.0,3.029,162.0,0.7288,0.6836,0.9513,2.0,1.0,2.0
Sr,20,1.203,0.00076,2.761,60.3,0.6416,0.5011,0.951,16.0,20.0,20.0
In,10,1.245,0.00048,2.897,57.3,0.6523,0.4853,0.95,9.0,9.0,10.0
Hf,5,1.322,0.0,2.901,104.5,0.8067,0.5828,0.9495,5.0,4.0,5.0
Al,18,1.208,0.00067,2.945,61.0,0.7558,0.4778,0.9491,16.0,15.0,18.0
Te,18,1.166,0.00081,2.941,30.6,0.7776,0.3946,0.9488,15.0,17.0,18.0
Ta,6,1.183,0.00082,2.986,136.0,0.5733,0.5825,0.9484,5.0,5.0,6.0
P,43,1.234,0.00035,2.893,77.6,0.6711,0.5191,0.9484,39.0,38.0,43.0
Np,2,1.156,0.0,,,0.5,0.5,0.9466,2.0,2.0,2.0
F,10,1.246,0.00089,2.532,93.7,0.5515,0.5427,0.9457,7.0,10.0,10.0
C,2,1.236,0.0,2.858,159.4,0.6861,0.6935,0.9446,2.0,1.0,2.0
Ca,10,1.207,0.0,2.879,59.9,0.7829,0.5015,0.9444,10.0,7.0,10.0
N,14,1.279,0.0,2.568,73.4,0.6254,0.5355,0.9437,14.0,12.0,14.0
Cd,15,1.183,0.0004,2.83,59.0,0.6894,0.5035,0.9433,14.0,15.0,15.0
As,26,1.144,0.00023,2.91,54.0,0.7393,0.4961,0.9432,25.0,21.0,26.0
W,5,1.237,0.0,,,0.5,0.5,0.9425,5.0,5.0,5.0
Na,16,1.218,0.00038,2.677,101.6,0.6711,0.5409,0.9421,15.0,13.0,16.0
K,22,1.233,0.00011,2.587,,0.5547,0.5,0.9421,19.0,21.0,22.0
Ag,21,1.184,0.00079,2.714,47.6,0.6652,0.4797,0.9399,16.0,19.0,21.0
Nb,9,1.257,0.00037,2.69,151.7,0.6077,0.5964,0.9391,8.0,8.0,9.0
Se,43,1.277,0.00047,2.67,46.3,0.5624,0.4786,0.9388,35.0,41.0,43.0
Ga,16,1.186,0.00016,2.83,31.4,0.7416,0.3993,0.9384,15.0,15.0,16.0
O,23,1.284,0.00013,2.581,115.7,0.5417,0.5581,0.9383,18.0,21.0,23.0
Au,5,1.22,0.0,3.221,,0.5998,0.5,0.9383,5.0,4.0,5.0
Ba,32,1.215,0.00052,2.707,60.0,0.6153,0.5015,0.9381,29.0,30.0,32.0
Sn,10,1.253,7e-05,2.447,,0.5206,0.5,0.938,9.0,10.0,10.0
H,2,1.295,0.0,,,0.5,0.5,0.9379,2.0,2.0,2.0
Pd,3,1.227,0.00276,,,0.5,0.5,0.9369,1.0,3.0,3.0
S,44,1.189,0.00104,2.77,48.9,0.5763,0.486,0.9364,31.0,44.0,44.0
Li,13,1.249,0.00064,2.906,70.4,0.7814,0.5055,0.9362,11.0,10.0,13.0
Ti,7,1.154,0.0,2.444,,0.5181,0.5,0.9354,7.0,7.0,7.0
Bi,6,1.228,0.0012,2.46,36.8,0.5251,0.4665,0.9353,4.0,6.0,6.0
Zr,5,1.166,0.00128,2.578,52.8,0.5819,0.4774,0.9349,3.0,5.0,5.0
Rb,18,1.246,0.00077,2.613,,0.5178,0.5,0.9346,15.0,17.0,18.0
Mo,3,1.337,2e-05,2.401,,0.5089,0.5,0.9345,2.0,3.0,3.0
Cl,18,1.259,0.00063,2.352,36.8,0.4981,0.4888,0.9324,14.0,18.0,18.0
I,13,1.216,0.00221,2.649,27.3,0.5878,0.4197,0.932,8.0,12.0,13.0
Cu,12,1.23,0.00284,2.647,47.1,0.5994,0.4531,0.9315,6.0,12.0,12.0
Sb,14,1.225,0.00066,3.263,30.6,0.5663,0.4679,0.9308,10.0,12.0,14.0
Ge,14,1.235,0.00085,2.944,99.4,0.5187,0.5139,0.9273,12.0,13.0,14.0
Br,5,1.243,0.0,2.271,37.4,0.4709,0.4608,0.9264,5.0,5.0,5.0
Co,2,1.21,0.0,2.739,,0.6934,0.5,0.9145,2.0,1.0,2.0
Sc,2,1.025,0.00164,2.691,63.6,0.6288,0.543,0.9125,1.0,2.0,2.0
