material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,volume,nsites,nelements,elements,elements_clean,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-861502,AcFeO3,Ac-Fe-O,0.9887999999999991,7.4875,6.4987,6.50904465,False,,,,,,,,,0.0,-2.771539465500001,-0.04915964400000301,8.889999465919495,61.79731063258672,5,3,['Ac' 'Fe' 'O'],"Ac,Fe,O",Cubic,True,True,4.2542759,FM,,True,True,False,0.680149943481371,0.9088000079911025,1.0,0.5,0.5,0.0,0.0,0.6132217383621074
mp-556429,Ag2Mo3SeO12,Ag-Mo-O-Se,1.7276999999999991,2.9772,1.2495,1.27804862,False,,,,,,,,,0.008686748680556002,-1.549436900454281,,4.799219392858115,1071.926643699604,72,4,['Ag' 'Mo' 'O' 'Se'],"Ag,Mo,O,Se",Monoclinic,False,False,0.0020834,NM,,False,False,False,0.6251755546482678,0.12852103105741194,0.8405196280242134,0.5,0.5,1.0,0.0,0.6107019503267321
mp-31053,Ag2S,Ag-S,1.3634,2.4026,1.0392,1.14959246,False,2.68694830926586,9.684604006666666,2.464912789999999,7.219691216666665,,,,,0.0048514483333330005,-0.11352241760416601,,6.093478394225376,135.05714760492967,6,2,['Ag' 'S'],"Ag,S",Monoclinic,True,False,0.0,NM,,False,False,False,0.9982903381397256,0.7195488296363747,0.9075297176417145,0.7544230747210926,0.5,1.0,0.0,0.7627957196390822
mp-36216,Ag2S,Ag-S,1.0895,3.2988,2.2093,2.254801999999999,False,,,,,27.991,8.545,3.024,0.361,0.012260691666668001,-0.10611317427083301,,6.675568024896398,123.28056696405524,6,2,['Ag' 'S'],"Ag,S",Orthorhombic,True,False,0.0,NM,,False,False,False,0.8219345325068265,0.9948452758678241,0.7825371878146075,0.5,0.2356859663189175,1.0,0.0,0.6740219862831814
mp-542199,Ag4HgGe2S7,Ag-Ge-Hg-S,0.463099999999999,2.7441,2.281,2.43276056,False,,,,,,,,,0.0022926350000000003,-0.46298850404761804,,5.043673354156452,659.6479458222789,28,4,['Ag' 'Ge' 'Hg' 'S'],"Ag,Ge,Hg,S",Monoclinic,False,False,0.000261999999999,NM,,False,True,False,0.09044801336814268,0.0909613984283609,0.9551826502331653,0.5,0.5,1.0,0.0,0.5000518756645811
mp-1194753,AgB3O5,Ag-B-O,2.3274,4.3741,2.0467,2.11267989,False,,,,,,,,,0.018237387291663,-2.4009590843518502,,4.390398371393116,333.2852615700874,36,3,['Ag' 'B' 'O'],"Ag,B,O",Orthorhombic,False,False,0.0,NM,,False,False,False,0.04751327539449457,0.0003038516743682215,0.6943717869641748,0.5,0.5,1.0,0.0,0.4105168433408226
mp-12021,AgBF4,Ag-B-F,3.157,1.8587,-1.2983,-1.17094774,True,,,,,,,,,0.0,-2.469788318333332,-0.143593196666662,4.612169661838752,280.35552424186614,24,3,['Ag' 'B' 'F'],"Ag,B,F",Orthorhombic,False,False,0.0,NM,,True,False,False,3.306110225766529e-05,9.741411479690721e-11,1.0,0.5,0.5,1.0,0.1,0.5750082652901766
mp-1215142,AgBHC12(NF2)9,Ag-B-C-F-H-N,3.4749,2.6236,-0.8513000000000001,-0.59444737,True,,,,,,,,,0.150790040119044,-1.1526269053472231,,2.175558049275718,2234.388913221055,168,6,['Ag' 'B' 'C' 'F' 'H' 'N'],"Ag,B,C,F,H,N",Orthorhombic,True,False,0.0038198,NM,,False,False,False,6.520668293626201e-07,4.1685068953684375e-14,0.04900657518715537,0.5,0.5,1.0,0.1,0.3035266261321522
mp-1096804,AgH,Ag-H,0.8512000000000001,3.1752,2.324,2.4347902,False,,,,,,,,,0.120898396666667,0.120898396666667,,7.757016317640359,46.61407852899997,4,2,['Ag' 'H'],"Ag,H",Hexagonal,True,False,0.0,NM,,False,False,False,0.4739554258500366,0.6693768995417656,0.08910249583038359,0.5,0.5,1.0,0.0,0.41955391381623286
mp-1205047,AgH36C15S3N6Cl,Ag-C-Cl-H-N-S,3.46,2.9505,-0.5095000000000001,-0.25213781,True,,,,,,,,,0.11231790294354901,-0.21416062043010703,,1.314353278134514,2728.933417699507,248,6,['Ag' 'C' 'Cl' 'H' 'N' 'S'],"Ag,C,Cl,H,N,S",Triclinic,False,False,0.0446255,NM,,False,False,False,7.949393615349141e-07,6.148396412704778e-14,0.10578378217580259,0.5,0.5,1.0,0.1,0.3514461442788003
mp-1201487,AgPHNO2,Ag-H-N-O-P,2.1822,3.5209,1.3387,1.34109487,False,,,,,,,,,0.087204983229167,-1.264748006954364,,4.05955431168489,912.2779459941959,72,5,['Ag' 'H' 'N' 'O' 'P'],"Ag,H,N,O,P",Monoclinic,False,False,0.003159099999999,NM,,False,False,False,0.10898280897686706,0.001895713067663489,0.17480229884091908,0.5,0.5,1.0,0.0,0.29623063391459603
mp-621612,AgPb2Br5,Ag-Br-Pb,1.9341,4.1993,2.2652,2.38711457,True,,,,,,,,,0.035843713125,-1.099094383333332,,6.276837626315522,487.71862786878813,16,3,['Ag' 'Br' 'Pb'],"Ag,Br,Pb",Monoclinic,False,False,0.0006452,NM,,False,True,False,0.3318793494946149,0.025172745717161438,0.48827609606101985,0.5,0.5,1.0,0.1,0.5338147732464829
mp-683984,Al(SeCl)4,Al-Cl-Se,1.1219000000000001,0.6758000000000001,-0.4461,0.11536432,False,,,,,,,,,0.0,-0.843153536805556,-0.011580354236114001,2.9801629867040083,2160.292379766617,72,3,['Al' 'Cl' 'Se'],"Al,Cl,Se",Orthorhombic,False,False,0.0,NM,,True,False,False,0.8618717672720146,0.9999799446455557,1.0,0.5,0.5,1.0,0.0,0.840464933514837
mp-1374068,Al2(WO4)3,Al-O-W,1.7529,4.5733,2.8204000000000002,2.82050714,True,,,,,,,,,0.15223093051470601,-2.402068029411763,,6.863718729048779,192.9332918549281,17,3,['Al' 'O' 'W'],"Al,O,W",Triclinic,True,False,0.000112,NM,,False,False,False,0.5869767716392726,0.1080299557542724,0.04761446819303507,0.5,0.5,1.0,0.1,0.449867072989096
mp-674298,Al22CdO34,Al-Cd-O,2.3255,5.9756,3.6501,3.6972459,False,,,,,,,,,0.029695692543859002,-3.326903878070176,,3.305988765866604,1255.6896937881702,114,3,['Al' 'Cd' 'O'],"Al,Cd,O",Monoclinic,True,False,0.0012557,NM,,False,False,False,0.04807312300871212,0.00031169002024332887,0.5521619705274227,0.5,0.5,1.0,0.0,0.3375949741983632
